CustomerID,Gender,Age,Tenure,ServiceType,MonthlyCharges,Contract,PaperlessBilling,PaymentMethod,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,TotalCharges,Churn
17,Male,37,33,Internet,32.9156396826558,Two year,Yes,Credit card,No,Yes,Yes,Yes,1108.3274871597105,No
18,Male,52,51,Phone,27.319729852497836,Two year,No,Mailed check,Yes,No,No,No,1457.6619172695925,Yes
19,Male,68,71,Both,35.41171693773198,Two year,Yes,Bank transfer,Yes,Yes,Yes,Yes,2522.6900086198684,No
20,Female,68,36,Phone,44.49902099049505,Month-to-month,Yes,Electronic check,No,No,Yes,Yes,1642.34718486763,No
21,Male,56,24,Phone,79.29463194364692,Two year,No,Mailed check,No,No,No,Yes,1996.533102615569,No
22,Female,38,28,Both,81.24252490967343,Two year,Yes,Bank transfer,No,Yes,Yes,No,2332.293750143642,No
23,Female,61,2,Internet,43.26018774570843,One year,Yes,Bank transfer,Yes,Yes,Yes,No,138.50232107037317,No
24,Male,18,10,Phone,68.92254993109376,One year,No,Credit card,No,Yes,Yes,Yes,701.9317602506745,No
25,Male,54,12,Both,68.20618527677348,Two year,No,Mailed check,No,Yes,Yes,No,850.6767042312856,No
26,Female,63,65,Phone,65.3110766285225,One year,Yes,Credit card,Yes,Yes,Yes,Yes,4315.200149346921,No
27,Female,59,68,Phone,100.35452949126581,Two year,Yes,Electronic check,Yes,Yes,No,No,6841.87082717698,Yes
28,Female,20,62,Both,67.16930698756319,One year,No,Bank transfer,No,Yes,Yes,No,4214.542115028684,No
29,Female,51,55,Phone,95.8365495956166,Two year,No,Electronic check,No,No,Yes,No,5319.942277041718,Yes
30,Male,30,37,Both,36.64811318047981,One year,No,Bank transfer,No,Yes,Yes,No,1375.1227392170997,No
31,Female,33,20,Phone,73.1967344073168,Month-to-month,No,Bank transfer,No,Yes,Yes,Yes,1510.0221082044836,No
32,Male,51,70,Internet,102.41047760631956,One year,Yes,Electronic check,Yes,Yes,No,Yes,7168.795720699013,No
33,Female,41,63,Both,37.77165839162576,One year,No,Credit card,No,Yes,Yes,No,2387.3257568558965,No
34,Male,30,69,Internet,66.49221686976622,Two year,Yes,Credit card,No,No,Yes,Yes,4635.586129129333,No
35,Female,23,42,Phone,80.90793160357168,One year,Yes,Bank transfer,Yes,No,Yes,No,3485.1576518357533,Yes
36,Female,56,17,Internet,38.47745748372873,One year,Yes,Credit card,No,No,Yes,Yes,656.1178894355282,No
37,Male,19,58,Both,95.6765605911403,Month-to-month,Yes,Mailed check,Yes,No,Yes,No,5628.285476744352,No
38,Female,28,6,Phone,27.899624779631743,Two year,No,Credit card,Yes,Yes,Yes,Yes,196.3962403633438,No
39,Female,24,23,Both,114.64155089077188,Month-to-month,Yes,Mailed check,No,Yes,Yes,Yes,2729.387482024682,No
40,Male,24,4,Phone,66.82214942181358,Two year,Yes,Bank transfer,Yes,No,No,No,360.19205228421976,No
41,Male,56,9,Internet,53.61230863654765,Two year,Yes,Credit card,No,No,No,Yes,505.17792405371534,No
42,Female,56,63,Internet,31.680700716264035,Two year,Yes,Mailed check,Yes,Yes,Yes,No,2003.7203857601105,No
43,Male,29,42,Both,63.25966430678647,One year,No,Credit card,No,No,Yes,Yes,2701.5443526420477,Yes
44,Female,68,12,Both,85.98040293907718,Two year,Yes,Electronic check,Yes,No,No,No,1053.2333215831181,No
45,Female,39,35,Phone,29.448727914238408,Month-to-month,Yes,Electronic check,No,No,No,Yes,1035.3469194188128,No
46,Female,68,50,Both,50.62690951677486,One year,Yes,Credit card,No,Yes,No,Yes,2592.6353244772517,Yes
47,Female,68,40,Both,103.60175827727112,Two year,Yes,Credit card,Yes,Yes,Yes,No,4177.436431700693,Yes
48,Female,69,59,Internet,84.61810255983272,Two year,Yes,Credit card,Yes,No,No,Yes,5042.685890489499,No
49,Male,20,6,Both,40.63730118576239,One year,No,Mailed check,No,No,No,Yes,280.9463905467715,No
50,Female,30,13,Both,36.09097957930892,Month-to-month,No,Mailed check,No,No,No,No,555.7711945929757,Yes
51,Male,47,60,Phone,110.44850262008998,Month-to-month,Yes,Mailed check,Yes,Yes,Yes,No,6701.898648847836,Yes
52,Female,27,16,Internet,48.70202213409844,One year,No,Electronic check,Yes,No,Yes,Yes,854.5549381016442,No
53,Female,69,5,Internet,37.95001688986303,One year,Yes,Credit card,No,No,Yes,No,214.36123768247307,Yes
54,Female,26,23,Phone,119.99640185426024,One year,No,Bank transfer,No,No,No,No,2770.117689617097,No
55,Female,23,53,Internet,50.91918277779059,One year,Yes,Mailed check,No,No,No,No,2710.7903290416325,No
56,Male,61,67,Phone,32.47401878093637,One year,Yes,Credit card,No,Yes,No,No,2229.668443522066,No
57,Female,19,6,Phone,66.1757629752947,Two year,Yes,Mailed check,No,Yes,No,Yes,478.1733299950566,No
58,Male,61,40,Both,63.43451101984821,Month-to-month,Yes,Credit card,Yes,Yes,Yes,No,2626.286550056277,Yes
59,Male,33,42,Both,112.68024758303311,One year,Yes,Electronic check,Yes,No,Yes,No,4765.175197834253,No
60,Female,30,23,Phone,33.42049474763047,Two year,Yes,Credit card,No,No,No,No,814.1430762189106,No
61,Female,65,20,Both,29.113640612930684,One year,Yes,Bank transfer,No,Yes,Yes,Yes,586.5752345285252,No
62,Male,30,63,Both,29.29786709066801,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Yes,1855.356620710973,No
63,Female,39,30,Internet,110.42874658222364,Month-to-month,Yes,Mailed check,No,No,Yes,No,3369.803849416783,No
64,Male,36,10,Internet,64.9369177961077,Month-to-month,No,Electronic check,No,No,No,Yes,730.4485543054594,No
65,Female,43,12,Both,35.060652815522566,Month-to-month,No,Bank transfer,Yes,No,No,Yes,472.1053544717298,No
66,Male,31,27,Phone,79.38300983792905,Two year,No,Electronic check,No,Yes,No,Yes,2208.0480411806193,No
67,Male,48,2,Phone,73.7623355650832,Month-to-month,No,Electronic check,Yes,No,Yes,No,221.8509616775383,Yes
68,Male,46,47,Both,39.84067477488993,One year,Yes,Credit card,Yes,No,No,Yes,1955.540574889016,Yes
69,Male,62,56,Both,80.3038139426371,Month-to-month,No,Bank transfer,Yes,Yes,Yes,No,4546.823877396587,No
70,Male,59,11,Phone,54.02312343169456,Two year,Yes,Credit card,Yes,Yes,Yes,Yes,622.5706048993986,No
71,Female,39,25,Internet,43.83707677308699,Month-to-month,No,Mailed check,No,Yes,Yes,No,1109.2082791704145,No
72,Female,24,44,Internet,71.04006108990282,One year,No,Electronic check,No,No,Yes,No,3196.181936162059,No
73,Male,54,14,Phone,49.16492615163876,Two year,Yes,Electronic check,No,No,No,No,765.0220728951306,Yes
74,Male,66,56,Both,42.21399217612132,Two year,No,Bank transfer,No,Yes,No,No,2396.4798964198835,No
75,Male,58,6,Internet,107.97224082996742,One year,No,Mailed check,No,No,Yes,Yes,688.0834973219013,No
76,Female,44,24,Phone,35.57625765734173,Month-to-month,Yes,Bank transfer,No,No,Yes,No,922.7065183545076,No
77,Female,48,43,Both,48.05899772848325,Month-to-month,No,Credit card,No,Yes,Yes,Yes,2156.2799820835803,No
78,Male,23,50,Both,58.61383798498257,Month-to-month,No,Credit card,Yes,No,No,No,2993.5816746667006,Yes
79,Female,33,57,Internet,47.36383103000229,Month-to-month,No,Mailed check,No,No,Yes,No,2789.1998646909406,Yes
80,Male,55,44,Both,41.07106425777696,Month-to-month,No,Mailed check,No,No,Yes,Yes,1895.4278497225432,No
81,Male,55,25,Phone,97.1146097054588,Month-to-month,Yes,Electronic check,No,Yes,Yes,Yes,2501.4501856197953,No
82,Female,67,22,Phone,52.90161587235815,Month-to-month,No,Credit card,No,Yes,No,Yes,1222.439988501181,Yes
83,Male,49,19,Phone,31.251295769933844,Two year,No,Mailed check,Yes,No,No,No,618.2257932827832,No
84,Female,50,64,Phone,74.08951624566959,Month-to-month,No,Mailed check,Yes,Yes,Yes,Yes,4749.031026110216,No
85,Female,66,30,Both,32.54884972364103,Month-to-month,No,Electronic check,No,No,No,Yes,1007.9268896817924,No
86,Female,34,38,Phone,55.75196074409279,Month-to-month,No,Electronic check,Yes,Yes,Yes,No,2204.420772481559,Yes
87,Female,50,50,Internet,108.18267622722838,One year,No,Mailed check,No,No,Yes,No,5473.42810454637,No
88,Female,28,41,Both,56.91611951062197,Month-to-month,No,Credit card,No,No,No,No,2377.5711321188824,Yes
89,Female,30,12,Both,83.250897428825,Two year,No,Mailed check,No,No,No,Yes,1073.5696020049372,Yes
90,Male,47,57,Both,71.46255360086312,Month-to-month,No,Credit card,Yes,Yes,No,Yes,4140.397542195301,No
91,Female,18,64,Phone,33.77248457779756,Two year,Yes,Mailed check,No,Yes,No,Yes,2241.0898126797474,No
92,Female,47,15,Both,84.90695977908352,One year,Yes,Credit card,Yes,Yes,Yes,No,1366.3055749928315,No
93,Male,44,33,Phone,105.60349969338063,One year,No,Bank transfer,Yes,Yes,Yes,No,3527.951034047778,No
94,Male,57,66,Phone,29.321247404534404,Two year,No,Electronic check,No,No,Yes,Yes,2022.0296444286628,No
95,Female,40,66,Both,95.36800891297915,Two year,No,Mailed check,Yes,No,Yes,No,6294.647732163479,Yes
96,Male,37,37,Both,89.02112815189781,One year,Yes,Mailed check,No,No,Yes,Yes,3364.6969064242676,No
97,Male,23,26,Phone,106.66605749971458,Two year,No,Electronic check,Yes,Yes,No,No,2811.7253538900013,No
98,Female,54,51,Both,30.4091932133467,Month-to-month,Yes,Credit card,Yes,Yes,No,No,1609.0564213408397,No
99,Female,37,13,Both,50.56953793966788,One year,No,Mailed check,Yes,No,Yes,Yes,706.5029170026612,Yes
100,Male,54,25,Phone,89.42914872263741,One year,No,Mailed check,No,Yes,Yes,No,2294.9689732038646,Yes
101,Female,23,20,Phone,22.201797888665023,Two year,No,Mailed check,Yes,Yes,Yes,No,504.9581231960377,No
102,Male,46,68,Both,93.40756777304887,Month-to-month,Yes,Credit card,No,Yes,No,Yes,6379.676751623939,No
103,Male,30,11,Phone,105.79785790011209,Month-to-month,Yes,Mailed check,No,No,Yes,Yes,1191.5430150552718,No
104,Female,44,8,Phone,65.33040523767576,One year,Yes,Bank transfer,Yes,Yes,Yes,Yes,535.396581485637,No
105,Male,67,53,Internet,63.432990342665214,Two year,No,Mailed check,No,No,No,Yes,3419.2635240504706,No
106,Male,37,15,Both,47.8468962069366,Month-to-month,No,Mailed check,No,No,Yes,No,723.6303956854549,No
107,Male,30,47,Both,20.505187000508734,Month-to-month,No,Electronic check,No,Yes,Yes,No,1059.640199377569,No
108,Female,56,36,Both,38.630351666635605,Two year,No,Credit card,No,Yes,No,No,1421.853084109878,No
109,Female,25,24,Both,117.98641184223712,Two year,No,Bank transfer,Yes,No,Yes,Yes,2849.6263493053398,No
110,Male,34,62,Both,106.72860771213567,One year,Yes,Electronic check,Yes,No,Yes,No,6659.617059461156,Yes
111,Female,47,54,Phone,46.65046387489214,Month-to-month,Yes,Credit card,Yes,Yes,No,No,2588.706568977841,Yes
112,Male,18,13,Both,116.37488571210464,One year,Yes,Credit card,Yes,No,No,No,1519.1565204925628,No
113,Male,41,46,Both,56.77126159532859,One year,Yes,Mailed check,Yes,Yes,Yes,Yes,2631.4411292572395,Yes
114,Male,33,8,Internet,49.758537475118004,Two year,No,Electronic check,Yes,Yes,Yes,No,466.0847847473676,No
115,Male,28,48,Phone,35.28076354498852,Month-to-month,No,Credit card,No,No,No,Yes,1779.458747020069,Yes
116,Male,21,40,Both,110.16110695106741,Two year,Yes,Bank transfer,No,Yes,Yes,Yes,4442.660207884348,Yes
117,Female,21,20,Both,118.69924910668593,Two year,No,Mailed check,No,No,No,Yes,2391.7356891962518,No
118,Male,34,51,Both,52.74114040526824,One year,No,Mailed check,No,No,No,No,2730.7917158218984,No
119,Female,66,66,Both,90.34304233584268,Month-to-month,No,Mailed check,No,No,No,No,5980.661448179584,No
120,Male,27,44,Phone,53.530340980955465,Two year,Yes,Mailed check,No,No,No,No,2452.4781268396455,No
121,Female,38,57,Internet,30.49907393054552,One year,Yes,Bank transfer,No,Yes,Yes,Yes,1776.6784759584277,No
122,Female,55,51,Internet,59.26923068823239,Month-to-month,Yes,Mailed check,Yes,No,Yes,No,3077.843123549791,No
123,Female,66,35,Both,75.1569960761176,Two year,No,Credit card,Yes,No,No,Yes,2651.4552278555825,No
124,Female,35,12,Internet,32.301675917649426,Month-to-month,No,Electronic check,Yes,No,No,No,478.41919396201916,No
125,Female,27,12,Internet,101.82727747897611,One year,Yes,Credit card,Yes,Yes,Yes,Yes,1273.1917911124326,No
126,Male,62,37,Internet,69.73631168932894,One year,Yes,Mailed check,No,No,Yes,No,2639.173319192723,No
127,Female,33,50,Internet,43.4382952504573,Two year,No,Electronic check,Yes,No,No,No,2260.684069696638,Yes
128,Female,56,49,Internet,79.27595785429433,One year,Yes,Mailed check,No,No,Yes,Yes,3901.152192649312,No
129,Female,32,12,Phone,99.3259306054402,One year,No,Mailed check,No,Yes,Yes,No,1207.8394567014698,Yes
130,Female,51,35,Phone,52.76243490519758,One year,Yes,Bank transfer,No,No,No,No,1853.8736677459674,No
131,Male,22,40,Phone,90.14763244005944,Month-to-month,Yes,Bank transfer,No,Yes,No,Yes,3699.341002618415,No
132,Female,34,11,Internet,62.78591799806873,Two year,No,Credit card,No,Yes,Yes,Yes,729.7041896331516,No
133,Female,54,3,Phone,116.40511688456009,Two year,Yes,Bank transfer,Yes,No,No,No,378.7988887962854,No
134,Male,25,47,Internet,97.09400866027316,One year,No,Electronic check,Yes,Yes,No,Yes,4589.07180884183,No
135,Male,41,52,Internet,55.6350902522021,One year,Yes,Electronic check,No,No,Yes,No,2979.6758195361526,No
136,Female,45,42,Phone,21.77479590617621,Month-to-month,Yes,Electronic check,No,No,No,Yes,1012.59977078435,No
137,Male,64,4,Both,85.75198953804279,Two year,No,Mailed check,Yes,Yes,Yes,No,409.5717009981619,No
138,Male,25,17,Internet,39.787215858485226,Month-to-month,Yes,Mailed check,No,No,No,No,756.4662481969788,Yes
139,Male,40,64,Internet,32.18791756491328,Two year,No,Mailed check,No,Yes,Yes,No,2123.3482833026274,No
140,Male,52,65,Phone,113.17764513967937,Two year,No,Mailed check,No,Yes,No,Yes,7399.576227191884,No
141,Female,48,14,Internet,119.99489702149168,Month-to-month,No,Bank transfer,No,Yes,Yes,No,1753.1040843716614,Yes
142,Female,34,39,Internet,46.98888205643851,Month-to-month,Yes,Mailed check,No,Yes,No,No,1919.4290165500065,No
143,Male,45,5,Internet,50.1768552165938,One year,No,Electronic check,Yes,Yes,No,No,309.1785187919022,No
144,Male,65,4,Phone,36.49889392381687,Two year,No,Credit card,No,No,Yes,No,218.9446111074555,No
145,Female,65,20,Both,65.76847759296237,One year,Yes,Credit card,Yes,Yes,Yes,No,1388.3671319591108,No
146,Male,68,17,Both,106.58437598357476,Two year,Yes,Credit card,No,No,No,Yes,1818.3396074683512,No
147,Female,29,25,Phone,90.15059521248777,One year,Yes,Electronic check,Yes,No,No,No,2320.2986426394464,No
148,Female,41,12,Internet,104.63315580765877,One year,Yes,Credit card,Yes,No,No,Yes,1323.5820138375673,No
149,Female,32,23,Both,42.84816556735805,Two year,Yes,Mailed check,No,No,No,No,1039.646722900159,No
150,Female,57,61,Phone,93.04560674084802,One year,No,Bank transfer,No,No,No,No,5706.015449204971,Yes
151,Male,48,3,Phone,111.85266283960603,Month-to-month,Yes,Credit card,No,No,No,No,364.59724066461143,No
152,Male,44,9,Internet,48.14161142143904,Month-to-month,Yes,Bank transfer,No,No,Yes,No,493.4449006449512,No
153,Male,52,39,Internet,89.06535435911852,One year,Yes,Credit card,No,Yes,No,Yes,3557.7794119772343,No
154,Female,35,53,Phone,60.06574116898545,Two year,No,Bank transfer,No,No,Yes,No,3210.0392322681164,No
155,Male,53,64,Phone,49.02266451589226,Two year,No,Bank transfer,Yes,No,No,Yes,3213.83402430264,No
156,Female,25,22,Phone,116.96234687543495,Two year,Yes,Mailed check,No,Yes,No,Yes,2623.126564730577,No
157,Female,63,5,Both,54.86332299682927,One year,No,Bank transfer,Yes,Yes,Yes,No,310.07917092052037,No
158,Female,66,32,Internet,30.784968126068726,Month-to-month,Yes,Bank transfer,No,No,Yes,No,1061.1563072337044,No
159,Male,55,38,Phone,58.85892096203356,One year,No,Credit card,No,No,No,Yes,2287.005234669515,Yes
160,Female,22,8,Internet,64.76782909599824,Month-to-month,No,Mailed check,Yes,Yes,No,Yes,613.265446246841,No
161,Male,31,23,Both,95.22108254992379,One year,Yes,Electronic check,No,Yes,Yes,Yes,2243.8706131489603,Yes
162,Male,55,43,Phone,114.99142669470028,One year,No,Mailed check,Yes,Yes,No,Yes,4966.8216740042735,No
163,Female,37,60,Internet,101.70569837942126,Two year,No,Electronic check,No,No,Yes,Yes,6116.666671739911,Yes
164,Male,61,55,Both,113.0941311255106,Month-to-month,No,Credit card,No,Yes,Yes,Yes,6227.799923278281,No
165,Female,26,52,Phone,67.50601299749312,One year,Yes,Credit card,Yes,Yes,No,Yes,3554.795366284727,No
166,Female,50,24,Internet,91.93165682364342,Month-to-month,Yes,Mailed check,Yes,Yes,No,Yes,2270.0593237713715,Yes
167,Male,35,26,Phone,50.904958501240245,One year,Yes,Bank transfer,Yes,Yes,No,No,1353.1740963096502,No
168,Male,23,58,Internet,26.958710851901795,Month-to-month,No,Credit card,No,No,No,No,1591.0861982491351,No
169,Female,54,70,Internet,56.547352532599355,One year,No,Bank transfer,No,Yes,Yes,Yes,4036.62585800246,No
170,Male,19,46,Both,89.79152283282977,Month-to-month,No,Bank transfer,Yes,Yes,No,No,4228.4632493955505,No
171,Female,47,52,Both,47.462211024804375,Two year,No,Electronic check,Yes,No,Yes,Yes,2518.6065086050653,Yes
172,Male,23,60,Both,106.1405895641521,Month-to-month,Yes,Electronic check,Yes,No,Yes,Yes,6464.060621620433,No
173,Female,34,45,Both,99.07728499829018,One year,Yes,Mailed check,No,No,No,No,4464.935932337394,No
174,Male,56,27,Both,39.404254918460296,Month-to-month,No,Credit card,Yes,Yes,No,Yes,1120.0689022608078,Yes
175,Female,58,44,Internet,53.083676249080675,One year,Yes,Electronic check,Yes,Yes,Yes,No,2426.1416728294107,Yes
176,Male,40,33,Both,102.53026175490918,Two year,No,Mailed check,No,No,Yes,No,3434.3607274434708,No
177,Female,48,31,Internet,44.393778951129946,Two year,Yes,Mailed check,Yes,No,Yes,No,1426.2239264990917,No
178,Male,37,15,Internet,53.160214566713066,One year,Yes,Credit card,Yes,No,Yes,No,855.3765352711698,No
179,Male,22,62,Phone,54.306693242308675,Month-to-month,Yes,Credit card,No,No,Yes,Yes,3404.8670610118957,No
180,Male,38,2,Internet,100.10420278257668,One year,Yes,Electronic check,Yes,No,Yes,Yes,252.12730254418736,No
181,Female,60,48,Internet,23.703026560501677,Month-to-month,No,Credit card,No,No,Yes,Yes,1151.7639060174133,No
182,Male,28,44,Both,27.37869831214143,Month-to-month,Yes,Credit card,Yes,Yes,Yes,Yes,1277.4406965485002,No
183,Female,21,16,Internet,77.84515481629376,Two year,Yes,Mailed check,No,No,No,Yes,1247.1638642747828,No
184,Male,40,69,Both,59.71119909960667,One year,No,Bank transfer,Yes,Yes,Yes,Yes,4141.71943107691,No
185,Female,55,40,Internet,83.28853196107076,Month-to-month,No,Electronic check,No,Yes,No,Yes,3426.3136287060947,No
186,Male,47,1,Internet,46.64612761793829,Month-to-month,No,Bank transfer,Yes,Yes,No,Yes,92.03714965945352,No
187,Male,59,59,Both,110.95826774815608,Month-to-month,No,Mailed check,No,No,Yes,Yes,6603.74482809986,Yes
188,Male,58,13,Phone,96.0941887174456,One year,Yes,Electronic check,Yes,Yes,Yes,Yes,1323.6776618139788,No
189,Male,35,44,Internet,26.774622055039604,One year,Yes,Bank transfer,No,Yes,No,Yes,1192.6235392171636,No
190,Male,69,55,Internet,98.3905477285034,Month-to-month,Yes,Credit card,Yes,No,No,No,5510.780635167461,Yes
191,Female,58,48,Both,116.95823723122513,Month-to-month,No,Credit card,No,No,Yes,No,5656.216306244386,No
192,Male,60,23,Both,114.2435620587473,Month-to-month,Yes,Mailed check,No,Yes,No,No,2627.603930104199,No
193,Male,48,32,Phone,93.54837980254477,Two year,Yes,Credit card,Yes,No,No,Yes,3073.0552635113263,No
194,Female,47,35,Phone,32.35937534812156,Two year,Yes,Electronic check,Yes,No,No,No,1140.5020969642899,Yes
195,Male,51,43,Phone,77.60767658404541,Month-to-month,No,Electronic check,Yes,Yes,No,No,3384.230796926293,No
196,Male,48,69,Internet,48.42327288404888,Month-to-month,No,Credit card,No,No,Yes,Yes,3364.631860547751,No
197,Male,64,63,Internet,117.02129436362472,Two year,Yes,Bank transfer,Yes,No,Yes,No,7388.910954759651,Yes
198,Female,55,37,Both,91.74857253616094,Month-to-month,Yes,Bank transfer,Yes,Yes,Yes,Yes,3416.5073926758405,No
199,Male,42,45,Both,81.07655897874193,One year,Yes,Mailed check,No,Yes,Yes,Yes,3715.4582990343033,No
200,Male,34,71,Both,89.50880426047263,One year,Yes,Mailed check,No,Yes,No,No,6414.411501761843,No
201,Female,53,7,Phone,63.79791291096805,Two year,Yes,Electronic check,Yes,No,No,Yes,453.07967742896557,Yes
202,Male,57,49,Phone,57.27367514376066,Month-to-month,No,Electronic check,No,No,No,No,2879.7109467398027,No
203,Female,47,10,Phone,113.57995794399642,One year,No,Credit card,Yes,No,No,Yes,1190.0001884522158,No
204,Male,19,29,Internet,53.19271347926866,Month-to-month,No,Mailed check,Yes,Yes,Yes,No,1551.360143011753,Yes
205,Male,41,57,Internet,24.14361317327193,Two year,No,Credit card,No,No,Yes,No,1417.2406415660942,Yes
206,Female,26,10,Both,60.08401541544574,Month-to-month,No,Bank transfer,No,Yes,No,No,667.4898915484843,No
207,Female,18,67,Phone,99.03403526216722,Month-to-month,Yes,Bank transfer,No,No,Yes,Yes,6654.387302803476,No
208,Male,41,10,Internet,84.84683580489194,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,No,916.3824247883715,No
209,Male,55,37,Phone,116.21707754778747,One year,Yes,Credit card,Yes,No,No,No,4326.635590963295,No
210,Male,65,29,Internet,30.620186761913764,One year,No,Credit card,No,Yes,Yes,No,964.4112702619142,No
211,Female,44,65,Phone,111.15463022293834,Two year,No,Electronic check,No,No,Yes,Yes,7228.069195559065,No
212,Female,43,14,Internet,56.884919391406214,Month-to-month,Yes,Bank transfer,No,Yes,Yes,Yes,857.4350547882326,No
213,Male,43,3,Internet,67.40025854219124,Month-to-month,Yes,Mailed check,No,Yes,Yes,Yes,299.3445997450093,No
214,Male,24,38,Internet,62.84821544892344,Two year,No,Electronic check,No,Yes,Yes,Yes,2405.817187436003,No
215,Male,42,4,Internet,31.645228109244144,One year,Yes,Electronic check,No,No,No,Yes,215.65689413049182,No
216,Male,33,51,Both,44.779645572518874,One year,No,Electronic check,Yes,No,Yes,Yes,2344.466786674548,No
217,Male,55,62,Phone,94.2271569229792,One year,No,Electronic check,No,No,Yes,Yes,5901.491942951933,Yes
218,Female,59,29,Internet,22.30075418456952,Month-to-month,No,Electronic check,No,Yes,Yes,Yes,711.6405373549594,No
219,Male,35,36,Internet,33.38877743862746,One year,Yes,Electronic check,No,No,No,No,1301.2377276683696,No
220,Female,34,54,Phone,22.521016879135008,Two year,No,Bank transfer,Yes,No,No,Yes,1224.9626021851955,No
221,Male,66,27,Internet,105.73880573235492,One year,No,Bank transfer,No,Yes,No,No,2871.3045259060295,No
222,Male,61,43,Internet,81.73248277817797,Month-to-month,No,Credit card,No,Yes,Yes,No,3575.7662902178354,No
223,Male,64,47,Phone,36.99286621185588,Month-to-month,No,Mailed check,Yes,Yes,No,No,1819.6978279141347,No
224,Female,23,70,Both,96.87722230537535,Month-to-month,No,Bank transfer,No,No,Yes,No,6785.572601010543,No
225,Female,37,29,Both,116.68005974515538,Month-to-month,Yes,Credit card,No,No,Yes,Yes,3472.5335891775185,No
226,Female,65,44,Internet,113.45603745300181,One year,Yes,Bank transfer,No,Yes,No,No,5007.689674243949,No
227,Male,40,63,Both,112.15475478121652,One year,Yes,Credit card,Yes,Yes,Yes,No,7121.685734738622,No
228,Male,63,10,Both,20.781021540574322,Two year,Yes,Mailed check,No,No,Yes,Yes,284.47943992453213,No
229,Female,29,39,Internet,78.90134889852786,Month-to-month,Yes,Credit card,No,Yes,Yes,Yes,3143.509374627044,No
230,Female,29,32,Internet,45.66326166390293,One year,Yes,Electronic check,No,No,No,Yes,1537.4924757834842,No
231,Female,51,23,Both,76.46472143098588,One year,Yes,Bank transfer,Yes,Yes,No,Yes,1788.0061652399313,Yes
232,Female,25,58,Internet,51.80302891605547,Month-to-month,No,Bank transfer,Yes,Yes,No,No,3090.579265367071,No
233,Male,44,22,Internet,35.36665427726126,One year,No,Credit card,No,Yes,Yes,Yes,803.8166377845191,No
234,Male,66,62,Both,64.44937233583467,One year,Yes,Mailed check,No,Yes,No,No,4067.1984589421313,No
235,Male,25,42,Phone,69.50963271763734,Month-to-month,Yes,Mailed check,No,No,Yes,No,2930.081206272397,No
236,Female,65,42,Both,118.97655068476246,Two year,No,Bank transfer,No,Yes,No,No,5090.351426808637,No
237,Female,50,24,Both,24.23878841385401,Two year,No,Electronic check,Yes,Yes,No,Yes,609.8644115245205,No
238,Male,54,53,Both,50.115519889727665,Two year,No,Electronic check,No,No,No,No,2668.9206075680713,No
239,Female,36,24,Internet,105.18938450883226,Two year,No,Mailed check,Yes,No,No,No,2537.107266439655,No
240,Male,41,42,Both,85.96954981260427,Two year,No,Credit card,No,Yes,Yes,Yes,3689.7568412340197,No
241,Male,39,61,Internet,102.66830318458959,One year,No,Credit card,No,Yes,Yes,Yes,6341.037924544207,No
242,Female,20,48,Phone,86.02909185597778,One year,Yes,Mailed check,No,Yes,No,No,4196.682874516639,No
